개방자치코드,인허가일자,영업상태코드,상세영업상태,소재지,도로명,사업장명,자본금
4291000,2001-04-04,02,휴업,강원특별자치도 정선군 고한읍 고한리 36-2 ,강원특별자치도 정선군 고한읍 고한8길 35,(합)강원관광여행사,2748000
4291000,2009-06-29,01,영업중,강원특별자치도 정선군 사북읍 사북리 369-17 경원빌딩 2층 ,,(주)하나하이원투어,2654000
4301000,2003-05-27,01,영업중,강원특별자치도 철원군 갈말읍 931-15 ,강원특별자치도 철원군 갈말읍 명성로 223-2,(주)삼흥관광,27271000
4301000,2003-02-25,03,폐업,강원특별자치도 철원군 동송읍 이평리 679-48 ,강원특별자치도 철원군 동송읍 이평로53번길 6-5,유명관광,8691000
4301000,2015-09-22,01,영업중,강원특별자치도 철원군 동송읍 이평리 679-48 ,강원특별자치도 철원군 동송읍 이평로53번길 6-5 (음식점),유명관광,34232000
4301000,2016-05-16,01,영업중,강원특별자치도 철원군 철원읍 화지리 40-89 ,강원특별자치도 철원군 철원읍 금학로 258 (중앙부동산),파랑새투어,6904000
4301000,2020-02-11,01,영업중,강원특별자치도 철원군 동송읍 이평리 667 ,강원특별자치도 철원군 동송읍 이평3로 154-10,동진관광여행사,34459000
4301000,2020-06-25,01,영업중,강원특별자치도 철원군 서면 와수리 1154-8 아폴로체육사 ,"강원특별자치도 철원군 서면 와수로 148-2, 1층",천일고속여행사,23214000
4301000,2022-04-29,01,영업중,강원특별자치도 철원군 갈말읍 신철원리 670-1 cafe COMMA ,"강원특별자치도 철원군 갈말읍 명성로158번길 28, 2층",그래!가자!,34824000
4301000,2023-07-28,01,영업중,강원특별자치도 철원군 갈말읍 신철원리 600-24 동철원농협 ,"강원특별자치도 철원군 갈말읍 삼부연로 17, B1층",디엠지철원 공정여행 협동조합,30586000
4301000,2011-05-16,01,영업중,강원특별자치도 철원군 동송읍 이평리 700-5 ,강원특별자치도 철원군 동송읍 금학로 177-1,예향여행사,42620000
4301000,2003-05-27,03,폐업,강원특별자치도 철원군 동송읍 이평리 713-1 ,,철원고속관광,12194000
4301000,2010-07-02,03,폐업,강원특별자치도 철원군 동송읍 장흥리 23-73 ,강원특별자치도 철원군 동송읍 태봉로 1825,(주)디엠젯철원평화관광,302000
4301000,2015-04-22,03,폐업,강원특별자치도 철원군 동송읍 장흥리 20-20 ,강원특별자치도 철원군 동송읍 태봉로 1799-22,(주)귀뚜라미랜드,39340000
4301000,2017-11-14,03,폐업,강원특별자치도 철원군 갈말읍 군탄리 1028-97 유명아파트 상가동 지하호,"강원특별자치도 철원군 갈말읍 군탄로8번길 16, 상가동 지하층 (유명아파트)",드래곤즈 트레블,21345000
4301000,2003-05-27,03,폐업,강원특별자치도 철원군 동송읍 이평리 655-26 ,,(주)대성여행사,3037000
4301000,2003-05-27,03,폐업,강원특별자치도 철원군 서면 와수리 864-1 ,,백마여행사,11396000
4311000,1996-09-20,03,폐업,강원특별자치도 화천군 화천읍 하리 66-44 ,강원특별자치도 화천군 화천읍 상승로 60,용화관광여행사,38848000
4311000,2016-04-26,02,휴업,강원특별자치도 화천군 화천읍 하리 43-18 ,강원특별자치도 화천군 화천읍 중앙로 2,누리여행사,21983000
4321000,2014-07-14,03,폐업,강원특별자치도 양구군 양구읍 군량리 450 ,강원특별자치도 양구군 양구읍 성곡로 849,주식회사 행복밭예술가들,26927000
4321000,2013-06-05,03,폐업,강원특별자치도 양구군 동면 후곡리 302-3 ,강원특별자치도 양구군 동면 약수터길 82 (아토피비만치유센터),(주)성신브릿지,24122000
4321000,1996-05-18,01,영업중,강원특별자치도 양구군 양구읍 상리 211 ,강원특별자치도 양구군 양구읍 비봉로 45,(자)현대관광,36537000
4321000,2001-12-01,03,폐업,강원특별자치도 양구군 양구읍 상리 227-25 ,강원특별자치도 양구군 양구읍 사명길 73,금대산관광,16063000
4321000,2001-03-03,03,폐업,강원특별자치도 양구군 양구읍 중리 52 ,강원특별자치도 양구군 양구읍 비봉로 71,합자회사 양록관광,7157000
4321000,2011-05-17,03,폐업,강원특별자치도 양구군 양구읍 안대리 33-1 ,강원특별자치도 양구군 양구읍 학안로 328,(주)시니어실크로드,29578000
4331000,2007-01-04,01,영업중,강원특별자치도 인제군 인제읍 합강리 221-12 ,강원특별자치도 인제군 인제읍 설악로 2254,(주)아름다운인제관광,6440000
4331000,2007-04-10,01,영업중,강원특별자치도 인제군 상남면 상남리 1584 ,강원특별자치도 인제군 상남면 아홉사리로 2658,상인산업주식회사,14716000
4331000,2013-07-26,01,영업중,강원특별자치도 인제군 인제읍 고사리 194 ,강원특별자치도 인제군 인제읍 내린천로 5703,내린천래프팅 에스레포츠,18436000
4331000,2014-04-08,01,영업중,강원특별자치도 인제군 인제읍 상동리 298-1 ,강원특별자치도 인제군 인제읍 인제로 174-1,하늘내린투어,10687000
4331000,2016-03-17,01,영업중,강원특별자치도 인제군 북면 원통리 655-10 ,강원특별자치도 인제군 북면 원통로184번길 6,힐링승마교육여행사,39577000
4331000,2016-01-11,03,폐업,강원특별자치도 인제군 인제읍 남북리 388 하늘내린센터 ,강원특별자치도 인제군 인제읍 비봉로44번길 100 (하늘내린센터),(사)하늘내린인제로컬투어사업단,24323000
4331000,2017-11-17,01,영업중,강원특별자치도 인제군 인제읍 남북리 384-5 ,강원특별자치도 인제군 인제읍 인제로 86,(유)인제여행,25409000
4331000,2016-05-03,01,영업중,강원특별자치도 인제군 기린면 진동리 775-1 ,강원특별자치도 인제군 기린면 꿩밭길 167,(주)나여행가리,43227000
4331000,2019-01-09,01,영업중,강원특별자치도 인제군 북면 원통리 413-5 ,강원특별자치도 인제군 북면 갈골로 126,비타민여행사,19083000
4331000,2020-05-19,01,영업중,강원특별자치도 인제군 기린면 진동리 21 ,강원특별자치도 인제군 기린면 조침령로 2158,당나귀 여행사,21569000
4331000,2001-05-31,03,폐업,강원특별자치도 인제군 기린면 현리 639-3 ,강원특별자치도 인제군 기린면 기린로 34,내린천여행,43095000
4331000,2017-05-08,01,영업중,강원특별자치도 인제군 인제읍 상동리 46-2 ,"강원특별자치도 인제군 인제읍 인제로218번길 17, 3층",자작나무 힐링캠프,25310000
4341000,2007-02-12,01,영업중,강원특별자치도 고성군 간성읍 상리 458-1 ,강원특별자치도 고성군 간성읍 간성로89번길 1,금강산고속관광주식회사,15517000
4341000,2009-12-16,01,영업중,강원특별자치도 고성군 간성읍 신안리 161 ,강원특별자치도 고성군 간성읍 간성로 17-4,(주)조은여행사,34108000
4341000,2011-08-31,01,영업중,강원특별자치도 고성군 토성면 신평리 465-72 ,강원특별자치도 고성군 토성면 잼버리동로 97,주식회사 에프와이티에스,31163000
4341000,2015-07-06,01,영업중,강원특별자치도 고성군 죽왕면 삼포리 243-13 오션투유콘도 ,"강원특별자치도 고성군 죽왕면 삼포해변길 9, 오션투유콘도 1층",(주)이비즈에셋,11296000
4341000,2018-07-06,03,폐업,강원특별자치도 고성군 거진읍 거진리 287-80 ,강원특별자치도 고성군 거진읍 거탄진로 123,출발여행,25428000
4341000,2020-08-13,01,영업중,강원특별자치도 고성군 토성면 봉포리 306-5 경동대학교 ,"강원특별자치도 고성군 토성면 봉포4길 46, 경동대학교, 문화관 4층 창업보육센터 4416호",주식회사 오리진,26207000
4341000,2003-12-23,03,폐업,강원특별자치도 고성군 간성읍 하리 17-2 ,강원특별자치도 고성군 간성읍 간성로 64-1 (GS25편의점),(주)금강산여행사,38375000
4341000,2004-04-10,03,폐업,강원특별자치도 고성군 토성면 청간리 32 (주)나진인터내셔널 여행사 ,강원특별자치도 고성군 토성면 청간정길 5,(주)나진인터내셔널여행사,14584000
4341000,2006-03-21,03,폐업,강원특별자치도 고성군 현내면 마차진리 239 금강산콘도미니엄 ,강원특별자치도 고성군 현내면 금강산로 416,주식회사 미봉,43521000
4341000,2019-05-02,01,영업중,강원특별자치도 고성군 죽왕면 삼포리 239-27 ,강원특별자치도 고성군 죽왕면 삼포민박촌2길 7,(주)위고온,14731000
4351000,2023-11-24,01,영업중,강원특별자치도 양양군 현남면 북분리 산 105-3 ,"강원특별자치도 양양군 현남면 북죽로 110-1, 102호",로마드 협동조합,37756000
4351000,1989-11-02,01,영업중,강원특별자치도 양양군 양양읍 남문리 47-7 ,,(합)뉴동방관광,26572000
4351000,2019-05-08,01,영업중,강원특별자치도 양양군 현남면 인구리 28-25 ,"강원특별자치도 양양군 현남면 인구길 28-25, 2층",양양서핑버스투어,44516000
4351000,2019-09-17,01,영업중,강원특별자치도 양양군 강현면 정암리 433-2 ,강원특별자치도 양양군 강현면 동해대로 3451-12,설렘양양 사회적협동조합,40244000
4351000,2020-02-20,01,영업중,강원특별자치도 양양군 현남면 인구리 636-1 블루비치모델 ,"강원특별자치도 양양군 현남면 인구길 28-25, 블루비치모델",양리단길 서핑버스,39515000
4351000,1983-10-08,03,폐업,강원특별자치도 양양군 양양읍 남문리 158 ,,(합자)남설악관광,21349000
4351000,2014-11-03,03,폐업,강원특별자치도 양양군 양양읍 남문리 85-4 ,강원특별자치도 양양군 양양읍 양양로 72-1,(주)해피투게더에서 주식회사 해피투게더호텔앤리조트로 상호변경,27580000
4351000,2003-03-25,03,폐업,강원특별자치도 양양군 손양면 동호리 산 281 ,,(주)이나라항공,44810000
4351000,2005-05-31,03,폐업,강원특별자치도 양양군 양양읍 성내리 25 ,,(주)가고파아이엔지투어라인,5290000
4351000,2007-10-04,03,폐업,강원특별자치도 양양군 강현면 주청리 15-3 ,,(주)해성코리아,6221000
4351000,2009-05-27,03,폐업,강원특별자치도 양양군 현북면 중광정리 176-2 201동 201호,,성진이엔아이(주),41550000
4351000,2012-02-28,03,폐업,강원특별자치도 양양군 양양읍 남문리 ,강원특별자치도 양양군 양양읍 남문5길 3,(합)드림여행사,19442000
